experiment,system,dataset,method,mode,distance_threshold,spoofing_range,n_runs,trigger_pct_mean,trigger_pct_std,mean_removed_per_triggered_frame_mean,mean_removed_per_triggered_frame_std,mean_injected_per_triggered_frame_mean,mean_injected_per_triggered_frame_std,ape_rmse_mean,ape_rmse_std,rpe_10m_rmse_mean,rpe_10m_rmse_std,rpe_max_mean,rpe_max_std
main_repeat,LVI-SAM,handheld,smvs,static,15,80,15,1.2647,0.0,1823.0,0.0,12800.0,0.0,7.705556532427864,5.005802058445112,1.835080603757022,0.3127081552063344,16.582413418583318,2.835588940771613
main_repeat,LVI-SAM,handheld,smvs,removal,15,80,15,1.2647,0.0,1823.0,0.0,3840.0,0.0,2.603448984896638,1.4462492047984392,0.8571801965647445,0.569869867858182,9.412222386256273,5.475466143947159
main_repeat,LVI-SAM,handheld,bismvs,static,15,80,15,1.2278,0.0,5910.0,0.0,12800.0,0.0,60.69962608558796,11.54946994090473,1.3635856575831025,0.3569240147318357,15.401512709552446,3.669144472466236
main_repeat,LVI-SAM,handheld,bismvs,removal,15,80,15,1.2278,0.0,5910.0,0.0,3840.0,0.0,1.2378761374728422,0.4312265117265842,0.2410281474065493,0.09629265617139872,2.6052701869357535,1.3394848939026256
main_repeat,LVI-SAM,handheld,random,static,15,80,15,0.89098,0.278429101516757,3960.02,1663.380167524636,12800.0,0.0,14.546361050518012,15.992267527227927,1.2761881497943521,0.5810244480240395,13.41021130766298,5.625961579048426
main_repeat,LVI-SAM,handheld,random,removal,15,80,15,0.89098,0.278429101516757,3960.02,1663.380167524636,3840.0,0.0,1.3564482678258154,0.5872243083244705,0.580618550201096,0.5524359012304975,7.326141301458933,7.025461452000923
param_sweep,LVI-SAM,handheld,smvs,static,15,40,3,1.2647,0.0,889.4,0.0,6400.0,0.0,7.711982146148264,5.235496095407752,1.1809619251080545,0.337252190063718,10.910040504214411,4.468710192290886
param_sweep,LVI-SAM,handheld,smvs,static,15,60,3,1.2647,0.0,1340.0,0.0,9600.0,0.0,11.482898721657635,10.746965061713691,1.4581024160027871,0.06883630127533974,12.298419854801576,1.1246130456313557
param_sweep,LVI-SAM,handheld,smvs,static,15,80,3,1.2647,0.0,1823.0,0.0,12800.0,0.0,6.476551640624393,2.6488337792462437,1.9770107808953374,0.37809345738277456,19.194559835677758,6.611726614817264
param_sweep,LVI-SAM,handheld,bismvs,static,10,60,3,0.7367,0.0,4726.9,0.0,9600.0,0.0,25.332269508770533,3.592378542378551,0.8092173303752319,0.418103928836269,10.552045013834206,6.191215349603415
param_sweep,LVI-SAM,handheld,bismvs,static,15,40,3,1.2278,0.0,3071.6,0.0,6400.0,0.0,10.287071440091992,4.3079647527652325,1.077301654565592,0.1744026242421781,12.039650841006747,4.370411924551536
param_sweep,LVI-SAM,handheld,bismvs,static,15,60,3,1.2278,0.0,4528.9,0.0,9600.0,0.0,61.357985854193764,7.132947612607877,1.2519103182094966,0.30933488112420937,13.103277417213667,2.3358500574853553
param_sweep,LVI-SAM,handheld,bismvs,static,15,80,3,1.2278,0.0,5910.0,0.0,12800.0,0.0,56.50331139624478,15.158240597185182,1.8188072079428828,0.9778561402300424,14.718475611088753,2.4423870096677907
param_sweep,LVI-SAM,handheld,bismvs,static,20,60,3,1.6944,0.0,4324.6,0.0,9600.0,0.0,80.58996726541547,9.582121144020935,1.4926115190315477,0.12171504286032823,17.559992950792328,0.530294594928367
param_sweep,LVI-SAM,handheld,bismvs,removal,15,40,3,1.2278,0.0,3071.6,0.0,1920.0,0.0,1.820012701976423,0.2888645984190059,0.29679467978864493,0.07365984012938198,2.7450326742166933,0.7870223487083188
param_sweep,LVI-SAM,handheld,bismvs,removal,15,60,3,1.2278,0.0,4528.9,0.0,2880.0,0.0,0.7703894633437008,0.4890316602636123,0.23161551093572585,0.13927286555212853,2.831350818624981,1.82752838123388
param_sweep,LVI-SAM,handheld,bismvs,removal,15,80,3,1.2278,0.0,5910.0,0.0,3840.0,0.0,1.3935696114048939,0.22570650460660638,0.281897463668715,0.024660870552153234,2.4138522774739344,0.2996187831141125
ablation,LVI-SAM,handheld,smvs_paper,static,15,80,3,0.0,0.0,,,,,1.4555902103059326,0.34569317071601685,0.6178189233795596,0.5668023619807084,8.12289234234514,7.8610510123246975
ablation,LVI-SAM,handheld,bismvs_paper,static,15,80,3,1.0191,0.0,6204.3,0.0,12800.0,0.0,9.716028152502313,5.578632830193242,1.937271053092043,0.13696315817799223,18.616319098008187,2.795826004990443
ablation,LVI-SAM,handheld,bismvs_cma_no_graph,static,15,80,3,1.4734,0.0,2628.4,0.0,12800.0,0.0,7.0423150748520555,0.3889948932784399,1.3870231899414514,0.011696831027105064,13.55828566225079,1.0979014648214
ablation,LVI-SAM,handheld,bismvs_graph_cma,static,15,80,3,1.2278,0.0,5910.0,0.0,12800.0,0.0,37.06371122243143,1.51611702319774,2.0105207653554378,0.8155912389697433,17.478495957673825,5.860245005878275
ablation,LVI-SAM,handheld,smvs_geometric,static,15,80,3,1.3874,0.0,2910.1,0.0,12800.0,0.0,8.02810958175361,0.48027235680604674,1.9819356679098663,0.041744350925939366,24.94490060482447,1.5173322628680406
transfer,FAST-LIVO2,CBD_Building_01,smvs,static,15,40,15,0.0,0.0,,,,,0.008876579320216937,0.004294730190421244,0.019603752832133083,0.007230785659859395,0.03010552147117551,0.0075154252474796315
transfer,FAST-LIVO2,CBD_Building_01,smvs,static,15,80,15,0.0,0.0,,,,,0.007480538647221372,0.000559413169282483,0.02155223094211753,0.010933338938902836,0.03301318480587291,0.012586780460985414
transfer,FAST-LIVO2,CBD_Building_01,smvs,removal,15,40,15,0.0,0.0,,,,,0.012426565792794275,0.011161691182413025,0.020196493826701956,0.008086313186743339,0.03151990000485346,0.008057076398194016
transfer,FAST-LIVO2,CBD_Building_01,smvs,removal,15,80,15,0.0,0.0,,,,,0.006942017209900339,0.0005653344231388046,0.018052838289555877,0.006922624759409748,0.027774651123160403,0.006568669635243415
transfer,FAST-LIVO2,CBD_Building_01,bismvs,static,15,40,15,49.7051,0.0,4803.7,0.0,2400.0,0.0,0.05390120669974647,0.00043238013938876773,0.03889879227784327,0.010131313520634865,0.22523757774645958,0.036587137172632594
transfer,FAST-LIVO2,CBD_Building_01,bismvs,static,15,80,15,63.016,0.0,20949.3,0.0,4800.0,0.0,3.156803391244074,0.044566707013839774,1.8240067199706524,2.928212704555129,4.101132519898199,3.1921788933059014
transfer,FAST-LIVO2,CBD_Building_01,bismvs,removal,15,40,15,49.7051,0.0,4803.7,0.0,720.0,0.0,0.03090455673789328,0.001189527246883593,0.019792492787343498,0.0071394150094510386,0.09661758551015512,0.016175394778589584
transfer,FAST-LIVO2,CBD_Building_01,bismvs,removal,15,80,15,63.016,0.0,20949.3,0.0,1440.0,0.0,13.047072510358191,15.427946378665125,6.33130850825059,2.72270825268584,9.577253285220802,3.328947959325457
transfer,R3LIVE,hku_campus_seq_00,smvs,static,15,40,15,27.2008,0.0,9645.4,0.0,2400.0,0.0,9.278308484591243,0.751581948909303,4.136922677022858,0.19952931125535173,12.068304069649809,0.21104676174445833
transfer,R3LIVE,hku_campus_seq_00,smvs,static,15,80,3,27.2008,0.0,16805.0,0.0,4800.0,0.0,6.32248386292329,0.3732542215548438,3.5980094371176548,0.6752852546599427,13.462654489098886,2.0814673846775213
transfer,R3LIVE,hku_campus_seq_00,smvs,removal,15,40,15,27.2008,0.0,9645.4,0.0,720.0,0.0,16.469809501137117,10.198765291543156,4.8064592068592145,1.8666676496673977,10.538093394580738,2.1653154462045126
transfer,R3LIVE,hku_campus_seq_00,smvs,removal,15,80,3,27.2008,0.0,16805.0,0.0,1440.0,0.0,65.52681306280186,9.81650375986802,8.706788491854843,0.5347672301731944,13.192650974143511,0.6389253230889871
transfer,R3LIVE,hku_campus_seq_00,bismvs,static,15,40,15,40.3066,0.0,9534.2,0.0,2400.0,0.0,6.041421446196277,1.7823421862233106,3.066087162111165,0.8625019682956576,8.745246245609003,1.9198646178352452
transfer,R3LIVE,hku_campus_seq_00,bismvs,static,15,80,3,40.3066,0.0,14921.1,0.0,4800.0,0.0,6.113732416704724,0.2760090496783247,2.0937422238777588,1.316971694527352,8.511700712815069,1.975382852998961
transfer,R3LIVE,hku_campus_seq_00,bismvs,removal,15,40,15,40.3066,0.0,9534.2,0.0,720.0,0.0,14.988967297999762,9.381363712016306,5.801285879388971,1.0762964150344696,11.745634470175723,1.1845169927565096
transfer,R3LIVE,hku_campus_seq_00,bismvs,removal,15,80,3,40.3066,0.0,14921.1,0.0,1440.0,0.0,49.31659709520245,27.878807824267298,7.555527571657723,1.5914339913655935,11.858878762884993,0.449525391831747
