experiment,system,dataset,method,mode,distance_threshold,spoofing_range,n_raw,n_trimmed,raw_ape_mean,raw_ape_std,trimmed_ape_mean,trimmed_ape_std,raw_rpe10_mean,raw_rpe10_std,trimmed_rpe10_mean,trimmed_rpe10_std,raw_rpemax_mean,raw_rpemax_std,trimmed_rpemax_mean,trimmed_rpemax_std,trim_rule
ablation,LVI-SAM,handheld,bismvs_cma_no_graph,static,15,80,3,3,7.0423150748520555,0.3889948932784399,7.0423150748520555,0.3889948932784399,1.3870231899414514,0.011696831027105064,1.3870231899414514,0.011696831027105064,13.55828566225079,1.0979014648214,13.55828566225079,1.0979014648214,drop min and max APE if n>=5; otherwise unchanged
ablation,LVI-SAM,handheld,bismvs_graph_cma,static,15,80,3,3,37.06371122243143,1.51611702319774,37.06371122243143,1.51611702319774,2.0105207653554378,0.8155912389697433,2.0105207653554378,0.8155912389697433,17.478495957673825,5.860245005878275,17.478495957673825,5.860245005878275,drop min and max APE if n>=5; otherwise unchanged
ablation,LVI-SAM,handheld,bismvs_paper,static,15,80,3,3,9.716028152502313,5.578632830193242,9.716028152502313,5.578632830193242,1.937271053092043,0.13696315817799223,1.937271053092043,0.13696315817799223,18.616319098008187,2.795826004990443,18.616319098008187,2.795826004990443,drop min and max APE if n>=5; otherwise unchanged
ablation,LVI-SAM,handheld,smvs_geometric,static,15,80,3,3,8.02810958175361,0.48027235680604674,8.02810958175361,0.48027235680604674,1.9819356679098663,0.041744350925939366,1.9819356679098663,0.041744350925939366,24.94490060482447,1.5173322628680406,24.94490060482447,1.5173322628680406,drop min and max APE if n>=5; otherwise unchanged
ablation,LVI-SAM,handheld,smvs_paper,static,15,80,3,3,1.4555902103059326,0.34569317071601685,1.4555902103059326,0.34569317071601685,0.6178189233795596,0.5668023619807084,0.6178189233795596,0.5668023619807084,8.12289234234514,7.8610510123246975,8.12289234234514,7.8610510123246975,drop min and max APE if n>=5; otherwise unchanged
main_repeat,LVI-SAM,handheld,bismvs,removal,15,80,15,13,1.2378761374728422,0.4312265117265842,1.1936943074395288,0.30090330306586527,0.2410281474065493,0.09629265617139872,0.2106224698477929,0.05721144993687379,2.6052701869357535,1.3394848939026256,2.2588127331887855,1.0461746076001472,drop min and max APE if n>=5; otherwise unchanged
main_repeat,LVI-SAM,handheld,bismvs,static,15,80,15,13,60.69962608558796,11.54946994090473,61.56824818045341,9.961608814536072,1.3635856575831025,0.3569240147318357,1.3113309480778699,0.3042800822393389,15.401512709552446,3.669144472466236,14.624350642946766,2.107613965302757,drop min and max APE if n>=5; otherwise unchanged
main_repeat,LVI-SAM,handheld,random,removal,15,80,15,13,1.3564482678258154,0.5872243083244705,1.3402361227951962,0.4944968556622214,0.580618550201096,0.5524359012304975,0.6265441379515296,0.580487228297413,7.326141301458933,7.025461452000923,7.818437414767359,7.4569727211275625,drop min and max APE if n>=5; otherwise unchanged
main_repeat,LVI-SAM,handheld,random,static,15,80,15,13,14.546361050518012,15.992267527227927,12.255938672575951,10.870038027828024,1.2761881497943521,0.5810244480240395,1.2886909777712499,0.5879766237747825,13.41021130766298,5.625961579048426,13.488187880329876,5.566784873698822,drop min and max APE if n>=5; otherwise unchanged
main_repeat,LVI-SAM,handheld,smvs,removal,15,80,15,13,2.603448984896638,1.4462492047984392,2.4136609319320907,1.0154696700439543,0.8571801965647445,0.569869867858182,0.7717231893506393,0.4241214486651167,9.412222386256273,5.475466143947159,8.908197688774084,4.810229355629835,drop min and max APE if n>=5; otherwise unchanged
main_repeat,LVI-SAM,handheld,smvs,static,15,80,15,13,7.705556532427864,5.005802058445112,6.963186289667448,3.6041097672734357,1.835080603757022,0.3127081552063344,1.9015230789148152,0.27179444797459124,16.582413418583318,2.835588940771613,17.019665177732243,2.7906776350310727,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,removal,15,40,3,3,1.820012701976423,0.2888645984190059,1.820012701976423,0.2888645984190059,0.29679467978864493,0.07365984012938198,0.29679467978864493,0.07365984012938198,2.7450326742166933,0.7870223487083188,2.7450326742166933,0.7870223487083188,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,removal,15,60,3,3,0.7703894633437008,0.4890316602636123,0.7703894633437008,0.4890316602636123,0.23161551093572585,0.13927286555212853,0.23161551093572585,0.13927286555212853,2.831350818624981,1.82752838123388,2.831350818624981,1.82752838123388,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,removal,15,80,3,3,1.3935696114048939,0.22570650460660638,1.3935696114048939,0.22570650460660638,0.281897463668715,0.024660870552153234,0.281897463668715,0.024660870552153234,2.4138522774739344,0.2996187831141125,2.4138522774739344,0.2996187831141125,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,static,10,60,3,3,25.332269508770533,3.592378542378551,25.332269508770533,3.592378542378551,0.8092173303752319,0.418103928836269,0.8092173303752319,0.418103928836269,10.552045013834206,6.191215349603415,10.552045013834206,6.191215349603415,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,static,15,40,3,3,10.287071440091992,4.3079647527652325,10.287071440091992,4.3079647527652325,1.077301654565592,0.1744026242421781,1.077301654565592,0.1744026242421781,12.039650841006747,4.370411924551536,12.039650841006747,4.370411924551536,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,static,15,60,3,3,61.357985854193764,7.132947612607877,61.357985854193764,7.132947612607877,1.2519103182094966,0.30933488112420937,1.2519103182094966,0.30933488112420937,13.103277417213667,2.3358500574853553,13.103277417213667,2.3358500574853553,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,static,15,80,3,3,56.50331139624478,15.158240597185182,56.50331139624478,15.158240597185182,1.8188072079428828,0.9778561402300424,1.8188072079428828,0.9778561402300424,14.718475611088753,2.4423870096677907,14.718475611088753,2.4423870096677907,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,bismvs,static,20,60,3,3,80.58996726541547,9.582121144020935,80.58996726541547,9.582121144020935,1.4926115190315477,0.12171504286032823,1.4926115190315477,0.12171504286032823,17.559992950792328,0.530294594928367,17.559992950792328,0.530294594928367,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,smvs,static,15,40,3,3,7.711982146148264,5.235496095407752,7.711982146148264,5.235496095407752,1.1809619251080545,0.337252190063718,1.1809619251080545,0.337252190063718,10.910040504214411,4.468710192290886,10.910040504214411,4.468710192290886,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,smvs,static,15,60,3,3,11.482898721657635,10.746965061713691,11.482898721657635,10.746965061713691,1.4581024160027871,0.06883630127533974,1.4581024160027871,0.06883630127533974,12.298419854801576,1.1246130456313557,12.298419854801576,1.1246130456313557,drop min and max APE if n>=5; otherwise unchanged
param_sweep,LVI-SAM,handheld,smvs,static,15,80,3,3,6.476551640624393,2.6488337792462437,6.476551640624393,2.6488337792462437,1.9770107808953374,0.37809345738277456,1.9770107808953374,0.37809345738277456,19.194559835677758,6.611726614817264,19.194559835677758,6.611726614817264,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,bismvs,removal,15,40,15,13,0.03090455673789328,0.001189527246883593,0.031010501608628862,0.0006231958354602463,0.019792492787343498,0.0071394150094510386,0.019877346303995385,0.0073786747803996295,0.09661758551015512,0.016175394778589584,0.09764842248070454,0.016063706239989147,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,bismvs,removal,15,80,15,13,13.047072510358191,15.427946378665125,10.360062017275622,8.320747536336732,6.33130850825059,2.72270825268584,6.482767210641278,2.3061140997419938,9.577253285220802,3.328947959325457,9.99595399291821,2.5849473834185472,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,bismvs,static,15,40,15,13,0.05390120669974647,0.00043238013938876773,0.0539071187468265,0.00036554781291504954,0.03889879227784327,0.010131313520634865,0.04113992463976158,0.00885379058160346,0.22523757774645958,0.036587137172632594,0.230455107255876,0.03333779285178731,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,bismvs,static,15,80,15,13,3.156803391244074,0.044566707013839774,3.158449771736133,0.03530354954461662,1.8240067199706524,2.928212704555129,1.6081238510618772,2.8225198844964208,4.101132519898199,3.1921788933059014,3.8624625503243983,3.0871535105466257,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,smvs,removal,15,40,15,13,0.012426565792794275,0.011161691182413025,0.010821942398785823,0.008670559395232069,0.020196493826701956,0.008086313186743339,0.01994424867376181,0.00855825821105833,0.03151990000485346,0.008057076398194016,0.03169641484804954,0.007569929700038833,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,smvs,removal,15,80,15,13,0.006942017209900339,0.0005653344231388046,0.006982170845038142,0.00032493805346643976,0.018052838289555877,0.006922624759409748,0.01771257221090178,0.007414115044733571,0.027774651123160403,0.006568669635243415,0.027674026496423636,0.007005512830613828,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,smvs,static,15,40,15,13,0.008876579320216937,0.004294730190421244,0.008265023241844773,0.0028707451768847344,0.019603752832133083,0.007230785659859395,0.01937275411480463,0.007749862612937417,0.03010552147117551,0.0075154252474796315,0.03033737285355245,0.007843654770648663,drop min and max APE if n>=5; otherwise unchanged
transfer,FAST-LIVO2,CBD_Building_01,smvs,static,15,80,15,13,0.007480538647221372,0.000559413169282483,0.007487199105459248,0.0005178772538390917,0.02155223094211753,0.010933338938902836,0.023087196934126586,0.01088312335824054,0.03301318480587291,0.012586780460985414,0.03411572708317064,0.013160280376178975,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,bismvs,removal,15,40,15,13,14.988967297999762,9.381363712016306,14.396206838827108,8.028847177426407,5.801285879388971,1.0762964150344696,5.838282839329339,0.9654186947502931,11.745634470175723,1.1845169927565096,11.932567014639227,1.0819275334770093,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,bismvs,removal,15,80,3,3,49.31659709520245,27.878807824267298,49.31659709520245,27.878807824267298,7.555527571657723,1.5914339913655935,7.555527571657723,1.5914339913655935,11.858878762884993,0.449525391831747,11.858878762884993,0.449525391831747,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,bismvs,static,15,40,14,12,6.128135270746513,1.8164919914657773,5.7111880033679165,0.45126638408818864,3.1544717094219354,0.821548777132141,2.999277510070464,0.6091396779736314,8.968076527089217,1.7796957799463229,8.820306534872707,1.871619497804594,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,bismvs,static,15,80,3,3,6.113732416704724,0.2760090496783247,6.113732416704724,0.2760090496783247,2.0937422238777588,1.316971694527352,2.0937422238777588,1.316971694527352,8.511700712815069,1.975382852998961,8.511700712815069,1.975382852998961,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,bismvs,static,15.0,40.0,1,1,4.827427902492983,0.0,4.827427902492983,0.0,1.8287034997603806,0.0,1.8287034997603806,0.0,5.625622304886029,0.0,5.625622304886029,0.0,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,smvs,removal,15,40,15,13,16.469809501137117,10.198765291543156,15.012475611419916,6.081555483082984,4.8064592068592145,1.8666676496673977,4.7713286265988275,1.2827238549163944,10.538093394580738,2.1653154462045126,10.905053802947505,0.6128800059509916,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,smvs,removal,15,80,3,3,65.52681306280186,9.81650375986802,65.52681306280186,9.81650375986802,8.706788491854843,0.5347672301731944,8.706788491854843,0.5347672301731944,13.192650974143511,0.6389253230889871,13.192650974143511,0.6389253230889871,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,smvs,static,15,40,15,13,9.278308484591243,0.751581948909303,9.227647561448164,0.5854679220210351,4.136922677022858,0.19952931125535173,4.131019827980118,0.19667026241208072,12.068304069649809,0.21104676174445833,12.046949160531836,0.21471719781941156,drop min and max APE if n>=5; otherwise unchanged
transfer,R3LIVE,hku_campus_seq_00,smvs,static,15,80,3,3,6.32248386292329,0.3732542215548438,6.32248386292329,0.3732542215548438,3.5980094371176548,0.6752852546599427,3.5980094371176548,0.6752852546599427,13.462654489098886,2.0814673846775213,13.462654489098886,2.0814673846775213,drop min and max APE if n>=5; otherwise unchanged
